TIER,CITY,STATE,CATEGORY,SEARCH_TERMS,LOCATION_HASHTAGS
1,Miami,FL,flower-carts,"#miamiflowercart #mobileflowersmiami #flowercartmiami #miamiweddingflowers","#miamiflowercart #southfloridaflowers #floridaweddingflorals"
1,Miami,FL,champagne-carts,"#miamichampagnecart #mobilechampagnemiami #champagnecartmiami #miamiweddingchampagne","#miamichampagnecart #southfloridachampagne #floridaweddingbubbly"
1,Dallas,TX,coffee-carts,"#dallascoffeecart #mobilecoffeedallas #dallasweddingcoffee #coffeecartdallas","#dallascoffeecart #dfwcoffee #texasweddingcoffee"
1,Dallas,TX,matcha-carts,"#dallasmatchacart #mobilematchadallas #matchacartdallas #dallasweddingmatcha","#dallasmatchacart #dfwmatcha #texasweddingmatcha"
1,Dallas,TX,cocktail-carts,"#dallascocktailcart #mobilebardallas #dallasweddingbar #cocktailcartdallas","#dallascocktailcart #dfwbar #texasweddingcocktails"
1,Dallas,TX,dessert-carts,"#dallasdessertcart #mobiledessertsdallas #dessertcartdallas #dallasweddingdesserts","#dallasdessertcart #dfwdesserts #texasweddingsweets"
1,Dallas,TX,flower-carts,"#dallasflowercart #mobileflowersdallas #flowercartdallas #dallasweddingflowers","#dallasflowercart #dfwflowers #texasweddingflorals"
1,Dallas,TX,champagne-carts,"#dallaschampagnecart #mobilechampagnedallas #champagnecartdallas #dallasweddingchampagne","#dallaschampagnecart #dfwchampagne #texasweddingbubbly"
1,Seattle,WA,coffee-carts,"#seattlecoffeecart #mobilecoffeeseattle #seattleweddingcoffee #coffeecartseattle","#seattlecoffeecart #pnwcoffee #washingtonweddingcoffee"
1,Seattle,WA,matcha-carts,"#seattlematchacart #mobilematchaseattle #matchacartseattle #seattleweddingmatcha","#seattlematchacart #pnwmatcha #washingtonweddingmatcha"
1,Seattle,WA,cocktail-carts,"#seattlecocktailcart #mobilebarseattle #seattleweddingbar #cocktailcartseattle","#seattlecocktailcart #pnwbar #washingtonweddingcocktails"
1,Seattle,WA,dessert-carts,"#seattledessertcart #mobiledessertsseattle #dessertcartseattle #seattleweddingdesserts","#seattledessertcart #pnwdesserts #washingtonweddingsweets"
1,Seattle,WA,flower-carts,"#seattleflowercart #mobileflowersseattle #flowercartseattle #seattleweddingflowers","#seattleflowercart #pnwflowers #washingtonweddingflorals"
1,Seattle,WA,champagne-carts,"#seattlechampagnecart #mobilechampagneseattle #champagnecartseattle #seattleweddingchampagne","#seattlechampagnecart #pnwchampagne #washingtonweddingbubbly"
1,Boston,MA,coffee-carts,"#bostoncoffeecart #mobilecoffeeboston #bostonweddingcoffee #coffeecartboston","#bostoncoffeecart #newenglandcoffee #massachusettsweddingcoffee"
1,Boston,MA,matcha-carts,"#bostonmatchacart #mobilematchaboston #matchacartboston #bostonweddingmatcha","#bostonmatchacart #newenglandmatcha #massachusettsweddingmatcha"
1,Boston,MA,cocktail-carts,"#bostoncocktailcart #mobilebarboston #bostonweddingbar #cocktailcartboston","#bostoncocktailcart #newenglandbar #massachusettsweddingcocktails"
1,Boston,MA,dessert-carts,"#bostondessertcart #mobiledessertsboston #dessertcartboston #bostonweddingdesserts","#bostondessertcart #newenglanddesserts #massachusettsweddingsweets"
1,Boston,MA,flower-carts,"#bostonflowercart #mobileflowersboston #flowercartboston #bostonweddingflowers","#bostonflowercart #newenglandflowers #massachusettsweddingflorals"
1,Boston,MA,champagne-carts,"#bostonchampagnecart #mobilechampagneboston #champagnecartboston #bostonweddingchampagne","#bostonchampagnecart #newenglandchampagne #massachusettsweddingbubbly"
1,Atlanta,GA,coffee-carts,"#atlantacoffeecart #mobilecoffeeatlanta #atlantaweddingcoffee #coffeecartatlanta","#atlantacoffeecart #georgiacoffee #southernweddingcoffee"
1,Atlanta,GA,matcha-carts,"#atlantamatchacart #mobilematchaatlanta #matchacartatlanta #atlantaweddingmatcha","#atlantamatchacart #georgiamatcha #southernweddingmatcha"
1,Atlanta,GA,cocktail-carts,"#atlantacocktailcart #mobilebaratlanta #atlantaweddingbar #cocktailcartatlanta","#atlantacocktailcart #georgiabar #southernweddingcocktails"
1,Atlanta,GA,dessert-carts,"#atlantadessertcart #mobiledessertsatlanta #dessertcartatlanta #atlantaweddingdesserts","#atlantadessertcart #georgiadesserts #southernweddingsweets"
1,Atlanta,GA,flower-carts,"#atlantaflowercart #mobileflowersatlanta #flowercartatlanta #atlantaweddingflowers","#atlantaflowercart #georgiaflowers #southernweddingflorals"
1,Atlanta,GA,champagne-carts,"#atlantachampagnecart #mobilechampagneatlanta #champagnecartatlanta #atlantaweddingchampagne","#atlantachampagnecart #georgiachampagne #southernweddingbubbly"
