TIER,CITY,STATE,CATEGORY,SEARCH_TERMS,LOCATION_HASHTAGS
1,"Miami",FL,wedding-planners,"#miamiweddingplanner #miamiweddingcoordinator #flweddingplanner #weddingplannersmiami","#miamiweddingplanner #flweddingplanning #miamiweddings"
1,"Miami",FL,wedding-venues,"#miamiweddingvenue #miamiweddingvenues #flweddingvenue #weddingvenuesmiami","#miamiweddingvenue #flweddingvenues #miamiweddings"
1,"Miami",FL,coffee-carts,"#miamicoffeecart #mobilecoffee #miamiweddingcoffee #coffeecartmiami","#miamicoffeecart #flcoffee #miamiweddingcoffee"
1,"Miami",FL,matcha-carts,"#miamimatchacart #mobilematcha #miamiweddingmatcha #matchacartmiami","#miamimatchacart #flmatcha #miamiweddingmatcha"
1,"Miami",FL,cocktail-carts,"#miamicocktailcart #mobilecocktail #miamiweddingcocktail #cocktailcartmiami","#miamicocktailcart #flcocktail #miamiweddingcocktail"
1,"Miami",FL,dessert-carts,"#miamidessertcart #mobiledessert #miamiweddingdessert #dessertcartmiami","#miamidessertcart #fldessert #miamiweddingdessert"
1,"Miami",FL,flower-carts,"#miamiflowercart #mobileflower #miamiweddingflower #flowercartmiami","#miamiflowercart #flflower #miamiweddingflower"
1,"Miami",FL,champagne-carts,"#miamichampagnecart #mobilechampagne #miamiweddingchampagne #champagnecartmiami","#miamichampagnecart #flchampagne #miamiweddingchampagne"
1,"Philadelphia",PA,wedding-photographers,"#philadelphiaweddingphotographer #philadelphiaweddings #pawedding #weddingphotographersphiladelphia","#philadelphiawedding #pawedding #philadelphiaweddingphotographer"
1,"Philadelphia",PA,wedding-planners,"#philadelphiaweddingplanner #philadelphiaweddingcoordinator #paweddingplanner #weddingplannersphiladelphia","#philadelphiaweddingplanner #paweddingplanning #philadelphiaweddings"
1,"Philadelphia",PA,wedding-venues,"#philadelphiaweddingvenue #philadelphiaweddingvenues #paweddingvenue #weddingvenuesphiladelphia","#philadelphiaweddingvenue #paweddingvenues #philadelphiaweddings"
1,"Philadelphia",PA,coffee-carts,"#philadelphiacoffeecart #mobilecoffee #philadelphiaweddingcoffee #coffeecartphiladelphia","#philadelphiacoffeecart #pacoffee #philadelphiaweddingcoffee"
1,"Philadelphia",PA,matcha-carts,"#philadelphiamatchacart #mobilematcha #philadelphiaweddingmatcha #matchacartphiladelphia","#philadelphiamatchacart #pamatcha #philadelphiaweddingmatcha"
1,"Philadelphia",PA,cocktail-carts,"#philadelphiacocktailcart #mobilecocktail #philadelphiaweddingcocktail #cocktailcartphiladelphia","#philadelphiacocktailcart #pacocktail #philadelphiaweddingcocktail"
1,"Philadelphia",PA,dessert-carts,"#philadelphiadessertcart #mobiledessert #philadelphiaweddingdessert #dessertcartphiladelphia","#philadelphiadessertcart #padessert #philadelphiaweddingdessert"
1,"Philadelphia",PA,flower-carts,"#philadelphiaflowercart #mobileflower #philadelphiaweddingflower #flowercartphiladelphia","#philadelphiaflowercart #paflower #philadelphiaweddingflower"
1,"Philadelphia",PA,champagne-carts,"#philadelphiachampagnecart #mobilechampagne #philadelphiaweddingchampagne #champagnecartphiladelphia","#philadelphiachampagnecart #pachampagne #philadelphiaweddingchampagne"
1,"Atlanta",GA,wedding-photographers,"#atlantaweddingphotographer #atlantaweddings #gawedding #weddingphotographersatlanta","#atlantawedding #gawedding #atlantaweddingphotographer"
1,"Atlanta",GA,wedding-planners,"#atlantaweddingplanner #atlantaweddingcoordinator #gaweddingplanner #weddingplannersatlanta","#atlantaweddingplanner #gaweddingplanning #atlantaweddings"
1,"Atlanta",GA,wedding-venues,"#atlantaweddingvenue #atlantaweddingvenues #gaweddingvenue #weddingvenuesatlanta","#atlantaweddingvenue #gaweddingvenues #atlantaweddings"
1,"Atlanta",GA,coffee-carts,"#atlantacoffeecart #mobilecoffee #atlantaweddingcoffee #coffeecartatlanta","#atlantacoffeecart #gacoffee #atlantaweddingcoffee"
1,"Atlanta",GA,matcha-carts,"#atlantamatchacart #mobilematcha #atlantaweddingmatcha #matchacartatlanta","#atlantamatchacart #gamatcha #atlantaweddingmatcha"
1,"Atlanta",GA,cocktail-carts,"#atlantacocktailcart #mobilecocktail #atlantaweddingcocktail #cocktailcartatlanta","#atlantacocktailcart #gacocktail #atlantaweddingcocktail"
1,"Atlanta",GA,dessert-carts,"#atlantadessertcart #mobiledessert #atlantaweddingdessert #dessertcartatlanta","#atlantadessertcart #gadessert #atlantaweddingdessert"
1,"Atlanta",GA,flower-carts,"#atlantaflowercart #mobileflower #atlantaweddingflower #flowercartatlanta","#atlantaflowercart #gaflower #atlantaweddingflower"
1,"Atlanta",GA,champagne-carts,"#atlantachampagnecart #mobilechampagne #atlantaweddingchampagne #champagnecartatlanta","#atlantachampagnecart #gachampagne #atlantaweddingchampagne"
1,"Phoenix",AZ,wedding-photographers,"#phoenixweddingphotographer #phoenixweddings #azwedding #weddingphotographersphoenix","#phoenixwedding #azwedding #phoenixweddingphotographer"
1,"Phoenix",AZ,wedding-planners,"#phoenixweddingplanner #phoenixweddingcoordinator #azweddingplanner #weddingplannersphoenix","#phoenixweddingplanner #azweddingplanning #phoenixweddings"
1,"Phoenix",AZ,wedding-venues,"#phoenixweddingvenue #phoenixweddingvenues #azweddingvenue #weddingvenuesphoenix","#phoenixweddingvenue #azweddingvenues #phoenixweddings"
1,"Phoenix",AZ,coffee-carts,"#phoenixcoffeecart #mobilecoffee #phoenixweddingcoffee #coffeecartphoenix","#phoenixcoffeecart #azcoffee #phoenixweddingcoffee"
1,"Phoenix",AZ,matcha-carts,"#phoenixmatchacart #mobilematcha #phoenixweddingmatcha #matchacartphoenix","#phoenixmatchacart #azmatcha #phoenixweddingmatcha"
1,"Phoenix",AZ,cocktail-carts,"#phoenixcocktailcart #mobilecocktail #phoenixweddingcocktail #cocktailcartphoenix","#phoenixcocktailcart #azcocktail #phoenixweddingcocktail"
1,"Phoenix",AZ,dessert-carts,"#phoenixdessertcart #mobiledessert #phoenixweddingdessert #dessertcartphoenix","#phoenixdessertcart #azdessert #phoenixweddingdessert"
1,"Phoenix",AZ,flower-carts,"#phoenixflowercart #mobileflower #phoenixweddingflower #flowercartphoenix","#phoenixflowercart #azflower #phoenixweddingflower"
1,"Phoenix",AZ,champagne-carts,"#phoenixchampagnecart #mobilechampagne #phoenixweddingchampagne #champagnecartphoenix","#phoenixchampagnecart #azchampagne #phoenixweddingchampagne"
1,"Boston",MA,wedding-photographers,"#bostonweddingphotographer #bostonweddings #mawedding #weddingphotographersboston","#bostonwedding #mawedding #bostonweddingphotographer"
1,"Boston",MA,wedding-planners,"#bostonweddingplanner #bostonweddingcoordinator #maweddingplanner #weddingplannersboston","#bostonweddingplanner #maweddingplanning #bostonweddings"
1,"Boston",MA,wedding-venues,"#bostonweddingvenue #bostonweddingvenues #maweddingvenue #weddingvenuesboston","#bostonweddingvenue #maweddingvenues #bostonweddings"
1,"Boston",MA,coffee-carts,"#bostoncoffeecart #mobilecoffee #bostonweddingcoffee #coffeecartboston","#bostoncoffeecart #macoffee #bostonweddingcoffee"
1,"Boston",MA,matcha-carts,"#bostonmatchacart #mobilematcha #bostonweddingmatcha #matchacartboston","#bostonmatchacart #mamatcha #bostonweddingmatcha"
1,"Boston",MA,cocktail-carts,"#bostoncocktailcart #mobilecocktail #bostonweddingcocktail #cocktailcartboston","#bostoncocktailcart #macocktail #bostonweddingcocktail"
1,"Boston",MA,dessert-carts,"#bostondessertcart #mobiledessert #bostonweddingdessert #dessertcartboston","#bostondessertcart #madessert #bostonweddingdessert"
1,"Boston",MA,flower-carts,"#bostonflowercart #mobileflower #bostonweddingflower #flowercartboston","#bostonflowercart #maflower #bostonweddingflower"
1,"Boston",MA,champagne-carts,"#bostonchampagnecart #mobilechampagne #bostonweddingchampagne #champagnecartboston","#bostonchampagnecart #machampagne #bostonweddingchampagne"
1,"San Francisco",CA,wedding-photographers,"#sanfranciscoweddingphotographer #sanfranciscoweddings #cawedding #weddingphotographerssanfrancisco","#sanfranciscowedding #cawedding #sanfranciscoweddingphotographer"
1,"San Francisco",CA,wedding-planners,"#sanfranciscoweddingplanner #sanfranciscoweddingcoordinator #caweddingplanner #weddingplannerssanfrancisco","#sanfranciscoweddingplanner #caweddingplanning #sanfranciscoweddings"
1,"San Francisco",CA,wedding-venues,"#sanfranciscoweddingvenue #sanfranciscoweddingvenues #caweddingvenue #weddingvenuessanfrancisco","#sanfranciscoweddingvenue #caweddingvenues #sanfranciscoweddings"
1,"San Francisco",CA,coffee-carts,"#sanfranciscocoffeecart #mobilecoffee #sanfranciscoweddingcoffee #coffeecartsanfrancisco","#sanfranciscocoffeecart #cacoffee #sanfranciscoweddingcoffee"
1,"San Francisco",CA,matcha-carts,"#sanfranciscomatchacart #mobilematcha #sanfranciscoweddingmatcha #matchacartsanfrancisco","#sanfranciscomatchacart #camatcha #sanfranciscoweddingmatcha"
1,"San Francisco",CA,cocktail-carts,"#sanfranciscococktailcart #mobilecocktail #sanfranciscoweddingcocktail #cocktailcartsanfrancisco","#sanfranciscococktailcart #cacocktail #sanfranciscoweddingcocktail"
1,"San Francisco",CA,dessert-carts,"#sanfranciscodessertcart #mobiledessert #sanfranciscoweddingdessert #dessertcartsanfrancisco","#sanfranciscodessertcart #cadessert #sanfranciscoweddingdessert"
1,"San Francisco",CA,flower-carts,"#sanfranciscoflowercart #mobileflower #sanfranciscoweddingflower #flowercartsanfrancisco","#sanfranciscoflowercart #caflower #sanfranciscoweddingflower"
1,"San Francisco",CA,champagne-carts,"#sanfranciscochampagnecart #mobilechampagne #sanfranciscoweddingchampagne #champagnecartsanfrancisco","#sanfranciscochampagnecart #cachampagne #sanfranciscoweddingchampagne"
1,"Riverside",CA,wedding-photographers,"#riversideweddingphotographer #riversideweddings #cawedding #weddingphotographersriverside","#riversidewedding #cawedding #riversideweddingphotographer"
1,"Riverside",CA,wedding-planners,"#riversideweddingplanner #riversideweddingcoordinator #caweddingplanner #weddingplannersriverside","#riversideweddingplanner #caweddingplanning #riversideweddings"
1,"Riverside",CA,wedding-venues,"#riversideweddingvenue #riversideweddingvenues #caweddingvenue #weddingvenuesriverside","#riversideweddingvenue #caweddingvenues #riversideweddings"
1,"Riverside",CA,coffee-carts,"#riversidecoffeecart #mobilecoffee #riversideweddingcoffee #coffeecartriverside","#riversidecoffeecart #cacoffee #riversideweddingcoffee"
1,"Riverside",CA,matcha-carts,"#riversidematchacart #mobilematcha #riversideweddingmatcha #matchacartriverside","#riversidematchacart #camatcha #riversideweddingmatcha"
1,"Riverside",CA,cocktail-carts,"#riversidecocktailcart #mobilecocktail #riversideweddingcocktail #cocktailcartriverside","#riversidecocktailcart #cacocktail #riversideweddingcocktail"
1,"Riverside",CA,dessert-carts,"#riversidedessertcart #mobiledessert #riversideweddingdessert #dessertcartriverside","#riversidedessertcart #cadessert #riversideweddingdessert"
1,"Riverside",CA,flower-carts,"#riversideflowercart #mobileflower #riversideweddingflower #flowercartriverside","#riversideflowercart #caflower #riversideweddingflower"
1,"Riverside",CA,champagne-carts,"#riversidechampagnecart #mobilechampagne #riversideweddingchampagne #champagnecartriverside","#riversidechampagnecart #cachampagne #riversideweddingchampagne"
1,"Detroit",MI,wedding-photographers,"#detroitweddingphotographer #detroitweddings #miwedding #weddingphotographersdetroit","#detroitwedding #miwedding #detroitweddingphotographer"
1,"Detroit",MI,wedding-planners,"#detroitweddingplanner #detroitweddingcoordinator #miweddingplanner #weddingplannersdetroit","#detroitweddingplanner #miweddingplanning #detroitweddings"
1,"Detroit",MI,wedding-venues,"#detroitweddingvenue #detroitweddingvenues #miweddingvenue #weddingvenuesdetroit","#detroitweddingvenue #miweddingvenues #detroitweddings"
1,"Detroit",MI,coffee-carts,"#detroitcoffeecart #mobilecoffee #detroitweddingcoffee #coffeecartdetroit","#detroitcoffeecart #micoffee #detroitweddingcoffee"
1,"Detroit",MI,matcha-carts,"#detroitmatchacart #mobilematcha #detroitweddingmatcha #matchacartdetroit","#detroitmatchacart #mimatcha #detroitweddingmatcha"
1,"Detroit",MI,cocktail-carts,"#detroitcocktailcart #mobilecocktail #detroitweddingcocktail #cocktailcartdetroit","#detroitcocktailcart #micocktail #detroitweddingcocktail"
1,"Detroit",MI,dessert-carts,"#detroitdessertcart #mobiledessert #detroitweddingdessert #dessertcartdetroit","#detroitdessertcart #midessert #detroitweddingdessert"
1,"Detroit",MI,flower-carts,"#detroitflowercart #mobileflower #detroitweddingflower #flowercartdetroit","#detroitflowercart #miflower #detroitweddingflower"
1,"Detroit",MI,champagne-carts,"#detroitchampagnecart #mobilechampagne #detroitweddingchampagne #champagnecartdetroit","#detroitchampagnecart #michampagne #detroitweddingchampagne"
1,"Seattle",WA,wedding-photographers,"#seattleweddingphotographer #seattleweddings #wawedding #weddingphotographersseattle","#seattlewedding #wawedding #seattleweddingphotographer"
1,"Seattle",WA,wedding-planners,"#seattleweddingplanner #seattleweddingcoordinator #waweddingplanner #weddingplannersseattle","#seattleweddingplanner #waweddingplanning #seattleweddings"
1,"Seattle",WA,wedding-venues,"#seattleweddingvenue #seattleweddingvenues #waweddingvenue #weddingvenuesseattle","#seattleweddingvenue #waweddingvenues #seattleweddings"
1,"Seattle",WA,coffee-carts,"#seattlecoffeecart #mobilecoffee #seattleweddingcoffee #coffeecartseattle","#seattlecoffeecart #wacoffee #seattleweddingcoffee"
1,"Seattle",WA,matcha-carts,"#seattlematchacart #mobilematcha #seattleweddingmatcha #matchacartseattle","#seattlematchacart #wamatcha #seattleweddingmatcha"
1,"Seattle",WA,cocktail-carts,"#seattlecocktailcart #mobilecocktail #seattleweddingcocktail #cocktailcartseattle","#seattlecocktailcart #wacocktail #seattleweddingcocktail"
1,"Seattle",WA,dessert-carts,"#seattledessertcart #mobiledessert #seattleweddingdessert #dessertcartseattle","#seattledessertcart #wadessert #seattleweddingdessert"
1,"Seattle",WA,flower-carts,"#seattleflowercart #mobileflower #seattleweddingflower #flowercartseattle","#seattleflowercart #waflower #seattleweddingflower"
1,"Seattle",WA,champagne-carts,"#seattlechampagnecart #mobilechampagne #seattleweddingchampagne #champagnecartseattle","#seattlechampagnecart #wachampagne #seattleweddingchampagne"
1,"Minneapolis",MN,wedding-photographers,"#minneapolisweddingphotographer #minneapolisweddings #mnwedding #weddingphotographersminneapolis","#minneapoliswedding #mnwedding #minneapolisweddingphotographer"
1,"Minneapolis",MN,wedding-planners,"#minneapolisweddingplanner #minneapolisweddingcoordinator #mnweddingplanner #weddingplannersminneapolis","#minneapolisweddingplanner #mnweddingplanning #minneapolisweddings"
1,"Minneapolis",MN,wedding-venues,"#minneapolisweddingvenue #minneapolisweddingvenues #mnweddingvenue #weddingvenuesminneapolis","#minneapolisweddingvenue #mnweddingvenues #minneapolisweddings"
1,"Minneapolis",MN,coffee-carts,"#minneapoliscoffeecart #mobilecoffee #minneapolisweddingcoffee #coffeecartminneapolis","#minneapoliscoffeecart #mncoffee #minneapolisweddingcoffee"
1,"Minneapolis",MN,matcha-carts,"#minneapolismatchacart #mobilematcha #minneapolisweddingmatcha #matchacartminneapolis","#minneapolismatchacart #mnmatcha #minneapolisweddingmatcha"
1,"Minneapolis",MN,cocktail-carts,"#minneapoliscocktailcart #mobilecocktail #minneapolisweddingcocktail #cocktailcartminneapolis","#minneapoliscocktailcart #mncocktail #minneapolisweddingcocktail"
1,"Minneapolis",MN,dessert-carts,"#minneapolisdessertcart #mobiledessert #minneapolisweddingdessert #dessertcartminneapolis","#minneapolisdessertcart #mndessert #minneapolisweddingdessert"
1,"Minneapolis",MN,flower-carts,"#minneapolisflowercart #mobileflower #minneapolisweddingflower #flowercartminneapolis","#minneapolisflowercart #mnflower #minneapolisweddingflower"
1,"Minneapolis",MN,champagne-carts,"#minneapolischampagnecart #mobilechampagne #minneapolisweddingchampagne #champagnecartminneapolis","#minneapolischampagnecart #mnchampagne #minneapolisweddingchampagne"
1,"San Diego",CA,wedding-photographers,"#sandiegoweddingphotographer #sandiegoweddings #cawedding #weddingphotographerssandiego","#sandiegowedding #cawedding #sandiegoweddingphotographer"
1,"San Diego",CA,wedding-planners,"#sandiegoweddingplanner #sandiegoweddingcoordinator #caweddingplanner #weddingplannerssandiego","#sandiegoweddingplanner #caweddingplanning #sandiegoweddings"
1,"San Diego",CA,wedding-venues,"#sandiegoweddingvenue #sandiegoweddingvenues #caweddingvenue #weddingvenuessandiego","#sandiegoweddingvenue #caweddingvenues #sandiegoweddings"
1,"San Diego",CA,coffee-carts,"#sandiegocoffeecart #mobilecoffee #sandiegoweddingcoffee #coffeecartsandiego","#sandiegocoffeecart #cacoffee #sandiegoweddingcoffee"
1,"San Diego",CA,matcha-carts,"#sandiegomatchacart #mobilematcha #sandiegoweddingmatcha #matchacartsandiego","#sandiegomatchacart #camatcha #sandiegoweddingmatcha"
1,"San Diego",CA,cocktail-carts,"#sandiegococktailcart #mobilecocktail #sandiegoweddingcocktail #cocktailcartsandiego","#sandiegococktailcart #cacocktail #sandiegoweddingcocktail"
1,"San Diego",CA,dessert-carts,"#sandiegodessertcart #mobiledessert #sandiegoweddingdessert #dessertcartsandiego","#sandiegodessertcart #cadessert #sandiegoweddingdessert"
1,"San Diego",CA,flower-carts,"#sandiegoflowercart #mobileflower #sandiegoweddingflower #flowercartsandiego","#sandiegoflowercart #caflower #sandiegoweddingflower"
1,"San Diego",CA,champagne-carts,"#sandiegochampagnecart #mobilechampagne #sandiegoweddingchampagne #champagnecartsandiego","#sandiegochampagnecart #cachampagne #sandiegoweddingchampagne"
1,"Tampa",FL,wedding-photographers,"#tampaweddingphotographer #tampaweddings #flwedding #weddingphotographerstampa","#tampawedding #flwedding #tampaweddingphotographer"
1,"Tampa",FL,wedding-planners,"#tampaweddingplanner #tampaweddingcoordinator #flweddingplanner #weddingplannerstampa","#tampaweddingplanner #flweddingplanning #tampaweddings"
1,"Tampa",FL,wedding-venues,"#tampaweddingvenue #tampaweddingvenues #flweddingvenue #weddingvenuestampa","#tampaweddingvenue #flweddingvenues #tampaweddings"
1,"Tampa",FL,coffee-carts,"#tampacoffeecart #mobilecoffee #tampaweddingcoffee #coffeecarttampa","#tampacoffeecart #flcoffee #tampaweddingcoffee"
